"","fluregion","year","week","date","cases","h1","h3","h5","h1n1","a_total","b_total","processed_samples","inf_a_prop","inf_b_prop","pop","cases_by_100k"
"1","Central America and Caribbean","2008",1,2008-01-06,4,0,0,0,0,0,4,126,0,0.0317460317460317,64546955826.5714,6.19703895989679e-06
"2","Central America and Caribbean","2008",2,2008-01-13,11,3,4,0,0,9,2,245,0.036734693877551,0.00816326530612245,64546955826.5714,1.70418571397162e-05
"3","Central America and Caribbean","2008",3,2008-01-20,14,3,7,0,0,12,2,237,0.0506329113924051,0.00843881856540084,64546955826.5714,2.16896363596387e-05
"4","Central America and Caribbean","2008",4,2008-01-27,29,3,9,0,0,28,1,340,0.0823529411764706,0.00294117647058824,64546955826.5714,4.49285324592517e-05
"5","Central America and Caribbean","2008",5,2008-02-03,20,0,3,0,0,19,1,249,0.0763052208835341,0.00401606425702811,64546955826.5714,3.09851947994839e-05
"6","Central America and Caribbean","2008",6,2008-02-10,10,1,4,0,0,10,0,143,0.0699300699300699,0,64546955826.5714,1.5492597399742e-05
"7","Central America and Caribbean","2008",7,2008-02-17,16,2,5,0,0,15,1,217,0.0691244239631336,0.00460829493087558,64546955826.5714,2.47881558395871e-05
"8","Central America and Caribbean","2008",8,2008-02-24,6,0,4,0,0,6,0,201,0.0298507462686567,0,64546955826.5714,9.29555843984518e-06
"9","Central America and Caribbean","2008",9,2008-03-02,15,0,9,0,0,11,4,215,0.0511627906976744,0.0186046511627907,64546955826.5714,2.32388960996129e-05
"10","Central America and Caribbean","2008",10,2008-03-09,10,1,5,0,0,7,3,196,0.0357142857142857,0.0153061224489796,64546955826.5714,1.5492597399742e-05
"11","Central America and Caribbean","2008",11,2008-03-16,11,0,6,0,0,8,3,194,0.0412371134020619,0.0154639175257732,64546955826.5714,1.70418571397162e-05
"12","Central America and Caribbean","2008",12,2008-03-23,3,2,0,0,0,3,0,51,0.0588235294117647,0,64546955826.5714,4.64777921992259e-06
"13","Central America and Caribbean","2008",13,2008-03-30,2,0,1,0,0,2,0,127,0.015748031496063,0,64546955826.5714,3.09851947994839e-06
"14","Central America and Caribbean","2008",14,2008-04-06,5,0,0,0,0,2,3,149,0.0134228187919463,0.0201342281879195,64546955826.5714,7.74629869987098e-06
"15","Central America and Caribbean","2008",15,2008-04-13,4,0,2,0,0,3,1,214,0.014018691588785,0.00467289719626168,64546955826.5714,6.19703895989679e-06
"16","Central America and Caribbean","2008",16,2008-04-20,3,0,2,0,0,2,1,215,0.00930232558139535,0.00465116279069767,64546955826.5714,4.64777921992259e-06
"17","Central America and Caribbean","2008",17,2008-04-27,2,2,0,0,0,2,0,277,0.0072202166064982,0,64546955826.5714,3.09851947994839e-06
"18","Central America and Caribbean","2008",18,2008-05-04,8,3,3,0,0,7,1,134,0.0522388059701493,0.00746268656716418,64546955826.5714,1.23940779197936e-05
"19","Central America and Caribbean","2008",19,2008-05-11,5,2,1,0,0,5,0,159,0.0314465408805031,0,64546955826.5714,7.74629869987098e-06
"20","Central America and Caribbean","2008",20,2008-05-18,1,0,0,0,0,1,0,149,0.00671140939597315,0,64546955826.5714,1.5492597399742e-06
"21","Central America and Caribbean","2008",21,2008-05-25,3,0,0,0,0,2,1,115,0.0173913043478261,0.00869565217391304,64546955826.5714,4.64777921992259e-06
"22","Central America and Caribbean","2008",22,2008-06-01,9,0,0,0,0,6,3,181,0.0331491712707182,0.0165745856353591,64546955826.5714,1.39433376597678e-05
"23","Central America and Caribbean","2008",23,2008-06-08,25,3,0,0,0,22,3,117,0.188034188034188,0.0256410256410256,64546955826.5714,3.87314934993549e-05
"24","Central America and Caribbean","2008",24,2008-06-15,19,8,0,0,0,17,2,174,0.0977011494252874,0.0114942528735632,64546955826.5714,2.94359350595097e-05
"25","Central America and Caribbean","2008",25,2008-06-22,25,5,0,0,0,24,1,222,0.108108108108108,0.0045045045045045,64546955826.5714,3.87314934993549e-05
"26","Central America and Caribbean","2008",26,2008-06-29,23,5,0,0,0,19,4,234,0.0811965811965812,0.0170940170940171,64546955826.5714,3.56329740194065e-05
"27","Central America and Caribbean","2008",27,2008-07-06,12,1,0,0,0,7,5,186,0.0376344086021505,0.0268817204301075,64546955826.5714,1.85911168796904e-05
"28","Central America and Caribbean","2008",28,2008-07-13,11,2,0,0,0,7,4,199,0.0351758793969849,0.0201005025125628,64546955826.5714,1.70418571397162e-05
"29","Central America and Caribbean","2008",29,2008-07-20,8,5,1,0,0,7,1,176,0.0397727272727273,0.00568181818181818,64546955826.5714,1.23940779197936e-05
"30","Central America and Caribbean","2008",30,2008-07-27,6,1,0,0,0,4,2,213,0.0187793427230047,0.00938967136150235,64546955826.5714,9.29555843984518e-06
"31","Central America and Caribbean","2008",31,2008-08-03,3,0,0,0,0,2,1,187,0.0106951871657754,0.0053475935828877,64546955826.5714,4.64777921992259e-06
"32","Central America and Caribbean","2008",32,2008-08-10,1,0,0,0,0,1,0,157,0.00636942675159236,0,64546955826.5714,1.5492597399742e-06
"33","Central America and Caribbean","2008",33,2008-08-17,2,0,0,0,0,1,1,192,0.00520833333333333,0.00520833333333333,64546955826.5714,3.09851947994839e-06
"34","Central America and Caribbean","2008",34,2008-08-24,2,0,0,0,0,2,0,229,0.00873362445414847,0,64546955826.5714,3.09851947994839e-06
"35","Central America and Caribbean","2008",35,2008-08-31,3,0,0,0,0,2,1,242,0.00826446280991736,0.00413223140495868,64546955826.5714,4.64777921992259e-06
"36","Central America and Caribbean","2008",36,2008-09-07,3,0,0,0,0,3,0,243,0.0123456790123457,0,64546955826.5714,4.64777921992259e-06
"37","Central America and Caribbean","2008",37,2008-09-14,4,0,1,0,0,3,1,220,0.0136363636363636,0.00454545454545455,64546955826.5714,6.19703895989679e-06
"38","Central America and Caribbean","2008",38,2008-09-21,2,0,0,0,0,1,1,259,0.00386100386100386,0.00386100386100386,64546955826.5714,3.09851947994839e-06
"39","Central America and Caribbean","2008",39,2008-09-28,0,0,0,0,0,0,0,318,0,0,64546955826.5714,0
"40","Central America and Caribbean","2008",40,2008-10-05,3,1,0,0,0,2,1,305,0.00655737704918033,0.00327868852459016,64546955826.5714,4.64777921992259e-06
"41","Central America and Caribbean","2008",41,2008-10-12,3,0,0,0,0,1,2,358,0.00279329608938547,0.00558659217877095,64546955826.5714,4.64777921992259e-06
"42","Central America and Caribbean","2008",42,2008-10-19,8,1,0,0,0,3,5,359,0.00835654596100279,0.0139275766016713,64546955826.5714,1.23940779197936e-05
"43","Central America and Caribbean","2008",43,2008-10-26,5,0,0,0,0,2,3,429,0.00466200466200466,0.00699300699300699,64546955826.5714,7.74629869987098e-06
"44","Central America and Caribbean","2008",44,2008-11-02,5,0,0,0,0,0,5,441,0,0.0113378684807256,64546955826.5714,7.74629869987098e-06
"45","Central America and Caribbean","2008",45,2008-11-09,4,1,0,0,0,4,0,434,0.00921658986175115,0,64546955826.5714,6.19703895989679e-06
"46","Central America and Caribbean","2008",46,2008-11-16,2,1,0,0,0,1,1,553,0.00180831826401447,0.00180831826401447,64546955826.5714,3.09851947994839e-06
"47","Central America and Caribbean","2008",47,2008-11-23,5,1,0,0,0,1,4,417,0.00239808153477218,0.00959232613908873,64546955826.5714,7.74629869987098e-06
"48","Central America and Caribbean","2008",48,2008-11-30,4,0,0,0,0,2,2,501,0.00399201596806387,0.00399201596806387,64546955826.5714,6.19703895989679e-06
"49","Central America and Caribbean","2008",49,2008-12-07,6,0,0,0,0,1,5,537,0.00186219739292365,0.00931098696461825,64546955826.5714,9.29555843984518e-06
"50","Central America and Caribbean","2008",50,2008-12-14,7,0,0,0,0,2,5,461,0.00433839479392625,0.0108459869848156,64546955826.5714,1.08448181798194e-05
"51","Central America and Caribbean","2008",51,2008-12-21,0,0,0,0,0,0,0,415,0,0,64546955826.5714,0
"52","Central America and Caribbean","2008",52,2008-12-28,3,0,0,0,0,2,1,145,0.0137931034482759,0.00689655172413793,64546955826.5714,4.64777921992259e-06
"53","Central America and Caribbean","2009",1,2009-01-04,3,0,2,0,0,2,1,135,0.0148148148148148,0.00740740740740741,64546955826.5714,4.64777921992259e-06
"54","Central America and Caribbean","2009",2,2009-01-11,12,3,1,0,0,10,2,234,0.0427350427350427,0.00854700854700855,64546955826.5714,1.85911168796904e-05
"55","Central America and Caribbean","2009",3,2009-01-18,19,7,7,0,0,18,1,306,0.0588235294117647,0.00326797385620915,64546955826.5714,2.94359350595097e-05
"56","Central America and Caribbean","2009",4,2009-01-25,19,4,10,0,0,17,2,350,0.0485714285714286,0.00571428571428571,64546955826.5714,2.94359350595097e-05
"57","Central America and Caribbean","2009",5,2009-02-01,48,12,23,0,0,40,8,369,0.10840108401084,0.021680216802168,64546955826.5714,7.43644675187614e-05
"58","Central America and Caribbean","2009",6,2009-02-08,56,17,25,0,1,47,9,434,0.108294930875576,0.0207373271889401,64546955826.5714,8.6758545438555e-05
"59","Central America and Caribbean","2009",7,2009-02-15,99,24,39,0,3,79,20,536,0.147388059701493,0.0373134328358209,64546955826.5714,0.000153376714257445
"60","Central America and Caribbean","2009",8,2009-02-22,112,24,43,0,0,94,18,676,0.13905325443787,0.0266272189349112,64546955826.5714,0.00017351709087711
"61","Central America and Caribbean","2009",9,2009-03-01,92,20,27,0,2,75,17,559,0.134168157423971,0.0304114490161002,64546955826.5714,0.000142531896077626
"62","Central America and Caribbean","2009",10,2009-03-08,134,46,42,0,2,113,21,644,0.175465838509317,0.0326086956521739,64546955826.5714,0.000207600805156542
"63","Central America and Caribbean","2009",11,2009-03-15,98,23,27,0,7,74,24,498,0.14859437751004,0.0481927710843374,64546955826.5714,0.000151827454517471
"64","Central America and Caribbean","2009",12,2009-03-22,71,9,18,0,15,60,11,348,0.172413793103448,0.0316091954022989,64546955826.5714,0.000109997441538168
"65","Central America and Caribbean","2009",13,2009-03-29,80,8,22,0,26,66,14,470,0.140425531914894,0.0297872340425532,64546955826.5714,0.000123940779197936
"66","Central America and Caribbean","2009",14,2009-04-05,112,10,28,0,55,107,5,397,0.269521410579345,0.0125944584382872,64546955826.5714,0.00017351709087711
"67","Central America and Caribbean","2009",15,2009-04-12,63,2,6,0,38,62,1,356,0.174157303370787,0.00280898876404494,64546955826.5714,9.76033636183744e-05
"68","Central America and Caribbean","2009",16,2009-04-19,237,4,24,0,147,229,8,765,0.299346405228758,0.0104575163398693,64546955826.5714,0.000367174558373885
"69","Central America and Caribbean","2009",17,2009-04-26,1777,45,191,0,1247,1758,19,4822,0.364579012857735,0.00394027374533389,64546955826.5714,0.00275303455793415
"70","Central America and Caribbean","2009",18,2009-05-03,3177,81,561,0,2033,3160,17,7614,0.415024954032046,0.00223272918308379,64546955826.5714,0.00492199819389802
"71","Central America and Caribbean","2009",19,2009-05-10,2573,64,505,0,1412,2558,15,7383,0.346471624001084,0.00203169443315725,64546955826.5714,0.00398624531095361
"72","Central America and Caribbean","2009",20,2009-05-17,1607,37,361,0,883,1596,11,5274,0.302616609783845,0.00208570345089116,64546955826.5714,0.00248966040213853
"73","Central America and Caribbean","2009",21,2009-05-24,1046,14,171,0,656,1029,17,3561,0.288963774220725,0.0047739399045212,64546955826.5714,0.00162052568801301
"74","Central America and Caribbean","2009",22,2009-05-31,821,18,38,0,535,803,18,2574,0.311965811965812,0.00699300699300699,64546955826.5714,0.00127194224651882
"75","Central America and Caribbean","2009",23,2009-06-07,1339,17,43,0,1125,1334,5,3270,0.407951070336391,0.00152905198776758,64546955826.5714,0.00207445879182545
"76","Central America and Caribbean","2009",24,2009-06-14,1875,7,43,0,1668,1869,6,3818,0.48952331063384,0.00157150340492404,64546955826.5714,0.00290486201245162
"77","Central America and Caribbean","2009",25,2009-06-21,1958,8,69,0,1744,1952,6,3876,0.503611971104231,0.00154798761609907,64546955826.5714,0.00303345057086948
"78","Central America and Caribbean","2009",26,2009-06-28,2716,3,53,0,2464,2714,2,4368,0.621336996336996,0.000457875457875458,64546955826.5714,0.00420778945376992
"79","Central America and Caribbean","2009",27,2009-07-05,2321,7,63,0,2108,2316,5,3884,0.596292481977343,0.00128733264675592,64546955826.5714,0.00359583185648011
"80","Central America and Caribbean","2009",28,2009-07-12,2033,1,97,0,1776,2029,4,3413,0.594491649575154,0.00117198945209493,64546955826.5714,0.00314964505136754
"81","Central America and Caribbean","2009",29,2009-07-19,1606,0,31,0,1420,1598,8,2851,0.56050508593476,0.00280603297088741,64546955826.5714,0.00248811114239856
"82","Central America and Caribbean","2009",30,2009-07-26,1580,4,33,0,1342,1575,5,2679,0.587905935050392,0.00186636804777902,64546955826.5714,0.00244783038915923
"83","Central America and Caribbean","2009",31,2009-08-02,1517,3,66,0,1257,1510,7,2874,0.525400139178845,0.00243562978427279,64546955826.5714,0.00235022702554086
"84","Central America and Caribbean","2009",32,2009-08-09,1018,2,62,0,809,1012,6,2207,0.458541005890349,0.00271862256456729,64546955826.5714,0.00157714641529373
"85","Central America and Caribbean","2009",33,2009-08-16,1159,0,55,0,930,1155,4,2434,0.474527526705012,0.00164338537387017,64546955826.5714,0.00179559203863009
"86","Central America and Caribbean","2009",34,2009-08-23,1233,2,31,0,1163,1233,0,2635,0.467931688804554,0,64546955826.5714,0.00191023725938818
"87","Central America and Caribbean","2009",35,2009-08-30,1671,0,13,0,1466,1671,0,3100,0.539032258064516,0,64546955826.5714,0.00258881302549688
"88","Central America and Caribbean","2009",36,2009-09-06,2943,0,17,0,2695,2943,0,4593,0.640757674722404,0,64546955826.5714,0.00455947141474406
"89","Central America and Caribbean","2009",37,2009-09-13,4738,3,25,0,4363,4737,1,6854,0.691129267580975,0.000145900204260286,64546955826.5714,0.00734039264799774
"90","Central America and Caribbean","2009",38,2009-09-20,4946,0,18,0,4595,4945,1,7198,0.686996387885524,0.000138927479855515,64546955826.5714,0.00766263867391237
"91","Central America and Caribbean","2009",39,2009-09-27,6761,0,54,0,6156,6759,2,9886,0.683694112886911,0.000202306291725673,64546955826.5714,0.0104745451019655
"92","Central America and Caribbean","2009",40,2009-10-04,6936,0,50,0,5967,6934,2,10061,0.689195904979624,0.000198787396879038,64546955826.5714,0.010745665556461
"93","Central America and Caribbean","2009",41,2009-10-11,5990,1,139,0,5015,5989,1,8907,0.672392500280678,0.000112271247333558,64546955826.5714,0.00928006584244544
"94","Central America and Caribbean","2009",42,2009-10-18,4852,0,17,0,4536,4852,0,7740,0.62687338501292,0,64546955826.5714,0.0075170082583548
"95","Central America and Caribbean","2009",43,2009-10-25,4000,3,20,0,3684,4000,0,6879,0.581479866259631,0,64546955826.5714,0.00619703895989679
"96","Central America and Caribbean","2009",44,2009-11-01,2696,0,42,0,2384,2696,0,5095,0.529146221786065,0,64546955826.5714,0.00417680425897043
"97","Central America and Caribbean","2009",45,2009-11-08,2243,1,14,0,2004,2241,2,4660,0.480901287553648,0.000429184549356223,64546955826.5714,0.00347498959676212
"98","Central America and Caribbean","2009",46,2009-11-15,1656,0,9,0,1518,1654,2,3989,0.414640260716972,0.000501378791677112,64546955826.5714,0.00256557412939727
"99","Central America and Caribbean","2009",47,2009-11-22,1190,0,9,0,1102,1189,1,3464,0.34324480369515,0.000288683602771363,64546955826.5714,0.00184361909056929
"100","Central America and Caribbean","2009",48,2009-11-29,767,2,32,0,678,765,2,2700,0.283333333333333,0.000740740740740741,64546955826.5714,0.00118828222056021
"101","Central America and Caribbean","2009",49,2009-12-06,697,0,3,0,643,693,4,2544,0.272405660377358,0.00157232704402516,64546955826.5714,0.00107983403876201
"102","Central America and Caribbean","2009",50,2009-12-13,423,0,3,0,387,419,4,1841,0.227593699076589,0.00217273221075502,64546955826.5714,0.000655336870009085
"103","Central America and Caribbean","2009",51,2009-12-20,314,0,4,0,277,314,0,1401,0.22412562455389,0,64546955826.5714,0.000486467558351898
"104","Central America and Caribbean","2009",52,2009-12-27,332,0,1,0,294,330,2,1222,0.270049099836334,0.0016366612111293,64546955826.5714,0.000514354233671433
"105","Central America and Caribbean","2009",53,2010-01-03,320,0,0,0,289,320,0,1167,0.274207369323051,0,64546955826.5714,0.000495763116791743
"106","Central America and Caribbean","2010",1,2010-01-10,369,0,8,0,321,360,9,1847,0.194910665944775,0.00487276664861938,64546955826.5714,0.000571676844050479
"107","Central America and Caribbean","2010",2,2010-01-17,280,0,3,0,239,277,3,1893,0.146328578975172,0.00158478605388273,64546955826.5714,0.000433792727192775
"108","Central America and Caribbean","2010",3,2010-01-24,314,0,1,0,274,308,6,2048,0.150390625,0.0029296875,64546955826.5714,0.000486467558351898
"109","Central America and Caribbean","2010",4,2010-01-31,266,1,1,0,241,266,0,1613,0.164910105393676,0,64546955826.5714,0.000412103090833136
"110","Central America and Caribbean","2010",5,2010-02-07,289,0,2,0,243,285,4,1900,0.15,0.00210526315789474,64546955826.5714,0.000447736064852543
"111","Central America and Caribbean","2010",6,2010-02-14,274,0,0,0,232,265,9,1652,0.160411622276029,0.00544794188861985,64546955826.5714,0.00042449716875293
"112","Central America and Caribbean","2010",7,2010-02-21,271,0,1,0,229,267,4,1800,0.148333333333333,0.00222222222222222,64546955826.5714,0.000419849389533007
"113","Central America and Caribbean","2010",8,2010-02-28,376,0,1,0,331,368,8,1657,0.222088111044056,0.00482800241400121,64546955826.5714,0.000582521662230298
"114","Central America and Caribbean","2010",9,2010-03-07,351,0,0,0,313,345,6,1874,0.184098185699039,0.0032017075773746,64546955826.5714,0.000543790168730943
"115","Central America and Caribbean","2010",10,2010-03-14,302,0,0,0,266,295,7,1619,0.182211241507103,0.00432365657813465,64546955826.5714,0.000467876441472207
"116","Central America and Caribbean","2010",11,2010-03-21,212,0,0,0,181,211,1,1365,0.154578754578755,0.000732600732600733,64546955826.5714,0.00032844306487453
"117","Central America and Caribbean","2010",12,2010-03-28,179,0,0,0,172,176,3,1114,0.157989228007181,0.00269299820466786,64546955826.5714,0.000277317493455381
"118","Central America and Caribbean","2010",13,2010-04-04,137,0,1,0,125,135,2,881,0.153234960272418,0.00227014755959137,64546955826.5714,0.000212248584376465
"119","Central America and Caribbean","2010",14,2010-04-11,158,0,0,0,146,154,4,988,0.15587044534413,0.00404858299595142,64546955826.5714,0.000244783038915923
"120","Central America and Caribbean","2010",15,2010-04-18,174,0,0,0,161,171,3,1096,0.156021897810219,0.00273722627737226,64546955826.5714,0.00026957119475551
"121","Central America and Caribbean","2010",16,2010-04-25,124,0,3,0,102,119,5,854,0.139344262295082,0.00585480093676815,64546955826.5714,0.0001921082077568
"122","Central America and Caribbean","2010",17,2010-05-02,99,0,0,0,87,93,6,805,0.115527950310559,0.00745341614906832,64546955826.5714,0.000153376714257445
"123","Central America and Caribbean","2010",18,2010-05-09,109,0,4,0,83,102,7,672,0.151785714285714,0.0104166666666667,64546955826.5714,0.000168869311657187
"124","Central America and Caribbean","2010",19,2010-05-16,113,0,3,0,91,102,11,801,0.127340823970037,0.0137328339575531,64546955826.5714,0.000175066350617084
"125","Central America and Caribbean","2010",20,2010-05-23,87,0,5,0,66,82,5,686,0.119533527696793,0.00728862973760933,64546955826.5714,0.000134785597377755
"126","Central America and Caribbean","2010",21,2010-05-30,121,0,25,0,70,113,8,768,0.147135416666667,0.0104166666666667,64546955826.5714,0.000187460428536878
"127","Central America and Caribbean","2010",22,2010-06-06,247,0,151,0,75,236,11,934,0.252676659528908,0.0117773019271949,64546955826.5714,0.000382667155773627
"128","Central America and Caribbean","2010",23,2010-06-13,242,0,115,0,99,224,18,876,0.255707762557078,0.0205479452054795,64546955826.5714,0.000374920857073756
"129","Central America and Caribbean","2010",24,2010-06-20,133,3,57,0,52,123,10,695,0.176978417266187,0.0143884892086331,64546955826.5714,0.000206051545416568
"130","Central America and Caribbean","2010",25,2010-06-27,195,2,65,0,96,174,21,1054,0.165085388994307,0.0199240986717268,64546955826.5714,0.000302105649294968
"131","Central America and Caribbean","2010",26,2010-07-04,170,0,95,0,52,158,12,763,0.207077326343381,0.0157273918741809,64546955826.5714,0.000263374155795613
"132","Central America and Caribbean","2010",27,2010-07-11,140,0,76,0,41,127,13,732,0.173497267759563,0.0177595628415301,64546955826.5714,0.000216896363596387
"133","Central America and Caribbean","2010",28,2010-07-18,122,0,74,0,30,113,9,621,0.181964573268921,0.0144927536231884,64546955826.5714,0.000189009688276852
"134","Central America and Caribbean","2010",29,2010-07-25,160,0,86,0,32,136,24,622,0.218649517684887,0.0385852090032154,64546955826.5714,0.000247881558395871
"135","Central America and Caribbean","2010",30,2010-08-01,192,0,144,0,26,176,16,663,0.265460030165913,0.024132730015083,64546955826.5714,0.000297457870075046
"136","Central America and Caribbean","2010",31,2010-08-08,215,0,169,0,14,194,21,738,0.262872628726287,0.0284552845528455,64546955826.5714,0.000333090844094452
"137","Central America and Caribbean","2010",32,2010-08-15,228,0,164,0,16,187,41,707,0.264497878359264,0.057991513437058,64546955826.5714,0.000353231220714117
"138","Central America and Caribbean","2010",33,2010-08-22,290,0,219,0,17,246,44,809,0.304079110012361,0.0543881334981459,64546955826.5714,0.000449285324592517
"139","Central America and Caribbean","2010",34,2010-08-29,349,0,291,0,3,311,38,1043,0.298178331735379,0.0364333652924257,64546955826.5714,0.000540691649250995
"140","Central America and Caribbean","2010",35,2010-09-05,404,0,371,0,2,385,19,1108,0.347472924187726,0.0171480144404332,64546955826.5714,0.000625900934949575
"141","Central America and Caribbean","2010",36,2010-09-12,351,0,313,0,2,324,27,1032,0.313953488372093,0.0261627906976744,64546955826.5714,0.000543790168730943
"142","Central America and Caribbean","2010",37,2010-09-19,227,0,194,0,0,209,18,778,0.268637532133676,0.0231362467866324,64546955826.5714,0.000351681960974143
"143","Central America and Caribbean","2010",38,2010-09-26,245,0,196,0,5,217,28,788,0.275380710659898,0.0355329949238579,64546955826.5714,0.000379568636293678
"144","Central America and Caribbean","2010",39,2010-10-03,194,0,160,0,0,176,18,786,0.223918575063613,0.0229007633587786,64546955826.5714,0.000300556389554994
"145","Central America and Caribbean","2010",40,2010-10-10,244,0,164,0,0,185,59,824,0.224514563106796,0.0716019417475728,64546955826.5714,0.000378019376553704
"146","Central America and Caribbean","2010",41,2010-10-17,219,0,168,0,0,187,32,737,0.253731343283582,0.0434192672998643,64546955826.5714,0.000339287883054349
"147","Central America and Caribbean","2010",42,2010-10-24,181,0,135,0,0,149,32,775,0.192258064516129,0.0412903225806452,64546955826.5714,0.00028041601293533
"148","Central America and Caribbean","2010",43,2010-10-31,157,0,124,0,0,128,29,705,0.181560283687943,0.0411347517730496,64546955826.5714,0.000243233779175949
"149","Central America and Caribbean","2010",44,2010-11-07,182,0,133,0,1,141,41,717,0.196652719665272,0.0571827057182706,64546955826.5714,0.000281965272675304
"150","Central America and Caribbean","2010",45,2010-11-14,206,0,170,0,1,178,28,759,0.234519104084321,0.0368906455862978,64546955826.5714,0.000319147506434684
"151","Central America and Caribbean","2010",46,2010-11-21,299,0,203,0,0,224,75,929,0.241119483315393,0.0807319698600646,64546955826.5714,0.000463228662252285
"152","Central America and Caribbean","2010",47,2010-11-28,328,0,254,0,0,268,60,916,0.292576419213974,0.0655021834061135,64546955826.5714,0.000508157194711536
"153","Central America and Caribbean","2010",48,2010-12-05,296,0,226,0,0,243,53,910,0.267032967032967,0.0582417582417582,64546955826.5714,0.000458580883032362
"154","Central America and Caribbean","2010",49,2010-12-12,350,0,280,0,2,304,46,887,0.342728297632469,0.0518602029312289,64546955826.5714,0.000542240908990969
"155","Central America and Caribbean","2010",50,2010-12-19,305,0,235,0,3,256,49,876,0.292237442922374,0.0559360730593607,64546955826.5714,0.00047252422069213
"156","Central America and Caribbean","2010",51,2010-12-26,229,0,165,0,5,186,43,621,0.29951690821256,0.0692431561996779,64546955826.5714,0.000354780480454091
"157","Central America and Caribbean","2010",52,2011-01-02,155,0,106,0,1,120,35,469,0.255863539445629,0.0746268656716418,64546955826.5714,0.000240135259696
"158","Central America and Caribbean","2011",1,2011-01-09,127,0,75,0,7,88,39,575,0.15304347826087,0.0678260869565217,64546955826.5714,0.000196755986976723
"159","Central America and Caribbean","2011",2,2011-01-16,102,0,43,0,6,53,49,672,0.0788690476190476,0.0729166666666667,64546955826.5714,0.000158024493477368
"160","Central America and Caribbean","2011",3,2011-01-23,76,0,39,0,4,44,32,621,0.07085346215781,0.0515297906602254,64546955826.5714,0.000117743740238039
"161","Central America and Caribbean","2011",4,2011-01-30,88,0,38,0,7,50,38,620,0.0806451612903226,0.0612903225806452,64546955826.5714,0.000136334857117729
"162","Central America and Caribbean","2011",5,2011-02-06,51,0,23,0,6,30,21,569,0.0527240773286467,0.0369068541300527,64546955826.5714,7.9012246738684e-05
"163","Central America and Caribbean","2011",6,2011-02-13,52,0,10,0,8,22,30,540,0.0407407407407407,0.0555555555555556,64546955826.5714,8.05615064786582e-05
"164","Central America and Caribbean","2011",7,2011-02-20,49,0,18,0,9,31,18,596,0.0520134228187919,0.0302013422818792,64546955826.5714,7.59137272587356e-05
"165","Central America and Caribbean","2011",8,2011-02-27,42,0,13,0,3,21,21,568,0.0369718309859155,0.0369718309859155,64546955826.5714,6.50689090789163e-05
"166","Central America and Caribbean","2011",9,2011-03-06,60,0,18,0,14,34,26,677,0.0502215657311669,0.0384047267355982,64546955826.5714,9.29555843984518e-05
"167","Central America and Caribbean","2011",10,2011-03-13,33,0,4,0,4,19,14,535,0.0355140186915888,0.0261682242990654,64546955826.5714,5.11255714191485e-05
"168","Central America and Caribbean","2011",11,2011-03-20,36,0,6,0,19,26,10,555,0.0468468468468468,0.018018018018018,64546955826.5714,5.57733506390711e-05
"169","Central America and Caribbean","2011",12,2011-03-27,46,0,8,0,23,34,12,719,0.0472878998609179,0.0166898470097357,64546955826.5714,7.1265948038813e-05
"170","Central America and Caribbean","2011",13,2011-04-03,88,0,16,0,53,72,16,809,0.0889987639060569,0.0197775030902349,64546955826.5714,0.000136334857117729
"171","Central America and Caribbean","2011",14,2011-04-10,50,0,16,0,22,40,10,703,0.0568990042674253,0.0142247510668563,64546955826.5714,7.74629869987098e-05
"172","Central America and Caribbean","2011",15,2011-04-17,37,0,5,0,27,32,5,565,0.0566371681415929,0.00884955752212389,64546955826.5714,5.73226103790453e-05
"173","Central America and Caribbean","2011",16,2011-04-24,15,0,2,0,5,9,6,375,0.024,0.016,64546955826.5714,2.32388960996129e-05
"174","Central America and Caribbean","2011",17,2011-05-01,17,0,1,0,9,12,5,521,0.0230326295585413,0.00959692898272553,64546955826.5714,2.63374155795613e-05
"175","Central America and Caribbean","2011",18,2011-05-08,16,0,3,0,6,9,7,390,0.0230769230769231,0.0179487179487179,64546955826.5714,2.47881558395871e-05
"176","Central America and Caribbean","2011",19,2011-05-15,14,0,2,0,9,11,3,433,0.0254041570438799,0.0069284064665127,64546955826.5714,2.16896363596387e-05
"177","Central America and Caribbean","2011",20,2011-05-22,34,0,4,0,14,19,15,381,0.0498687664041995,0.0393700787401575,64546955826.5714,5.26748311591227e-05
"178","Central America and Caribbean","2011",21,2011-05-29,19,0,1,0,4,7,12,403,0.0173697270471464,0.0297766749379653,64546955826.5714,2.94359350595097e-05
"179","Central America and Caribbean","2011",22,2011-06-05,8,0,1,0,0,2,6,431,0.00464037122969838,0.0139211136890951,64546955826.5714,1.23940779197936e-05
"180","Central America and Caribbean","2011",23,2011-06-12,36,0,6,0,7,16,20,425,0.0376470588235294,0.0470588235294118,64546955826.5714,5.57733506390711e-05
"181","Central America and Caribbean","2011",24,2011-06-19,34,0,8,0,8,17,17,388,0.0438144329896907,0.0438144329896907,64546955826.5714,5.26748311591227e-05
"182","Central America and Caribbean","2011",25,2011-06-26,24,0,2,0,13,15,9,393,0.0381679389312977,0.0229007633587786,64546955826.5714,3.71822337593807e-05
"183","Central America and Caribbean","2011",26,2011-07-03,17,0,1,0,8,9,8,406,0.0221674876847291,0.0197044334975369,64546955826.5714,2.63374155795613e-05
